campany_name,rating,headquarter,headquarter,num_of_locations,pub_or_pri,how long,employees,reviews,reviews,salaries,jobs,interviews
BNY Mellon ,4.2,"New York City,New York + 9 more",New York City, 9,Private,18,10k-50k Employees (India),,2.5k,20.4k,485,86
Omega Healthcare ,3.7,Florida + 27 more,Florida, 27,Private,18,5k-10k Employees (India),,2.5k,12.6k,24,98
SBI Cards & Payment Services ,3.8,"Gurgaon/Gurugram,Haryana + 235 more",Gurgaon/Gurugram, 235,Government,24,10k-50k Employees (India),,2.5k,15.3k,459,94
Fullerton India ,4.2,Mumbai + 394 more,Mumbai, 394,Private,15,10k-50k Employees (India),,2.5k,9.9k,,54
Aditya Birla Fashion and Retail ,4.3,Mumbai + 193 more,Mumbai, 193,Private,7,10k-50k Employees (India),,3.2k,9.8k,57,57
D Mart ,4,"Mumbai,Maharashtra + 157 more",Mumbai, 157,Private,22,10k-50k Employees (India),,2.5k,10.3k,15,119
UnitedHealth ,4.2,"Minnetonka,Minnesota + 12 more",Minnetonka, 12,Private,45,10k-50k Employees (India),,4.4k,18.4k,15,51
Cummins ,4.3,"Columbus,Indiana + 81 more",Columbus, 81,,60,10k-50k Employees (India),,3k,10.7k,10,92
Godrej & Boyce Manufacturing ,3.9,"Mumbai,Maharashtra + 116 more",Mumbai, 116,Private,125,10k-50k Employees (India),,2.8k,14.4k,20,73
IQVIA ,4.2,Durham + 38 more,Durham, 38,Partnership,40,10k-50k Employees (India),,2.5k,18.6k,19,161
CBRE ,4.3,"Los Angeles,California + 53 more",Los Angeles, 53,Private,116,10k-50k Employees (India),,2.3k,11.4k,136,81
Dominos Pizza ,4.1,"Ypsilanti,Michigan + 203 more",Ypsilanti, 203,Public,62,1k-5k Employees (India),,2.3k,4.3k,1,35
Axis Direct ,4,"San Mateo,California + 266 more",San Mateo, 266,Private,11,1k-5k Employees (India),,2.4k,8.4k,44,42
Royal Enfield ,4.2,"Gurgaon/Gurugram,Haryana + 231 more",Gurgaon/Gurugram, 231,Private,67,1k-5k Employees (India),,2.3k,11.8k,11,61
Equitas Small Finance Bank ,4.2,"Chennai,Tamil Nadu + 285 more",Chennai, 285,Private,15,10k-50k Employees (India),,2.3k,11k,18,62
Nagarjuna Construction Company ,4.1,"Hyderabad/Secunderabad,Telangana + 178 more",Hyderabad/Secunderabad, 178,Public,24,1k-5k Employees (India),,2.4k,9.6k,5,110
Bajaj Auto ,4,"Pune,Maharashtra + 208 more",Pune, 208,Public,77,5k-10k Employees (India),,2.3k,8.9k,,97
 Wipro Consumer Care & Lighting ,3.9,"Bangalore/Bengaluru,Karnataka + 71 more",Bangalore/Bengaluru, 71,Private,77,1k-5k Employees (India),,29.2k,1.8k,15,26
JBM Group ,4,"Gurgaon/Gurugram,Haryana + 73 more",Gurgaon/Gurugram, 73,Public,39,10k-50k Employees (India),,2.8k,9.8k,29,103
Nagarro ,4.5,"Munich,Bavaria + 30 more",Munich, 30,Private,26,10k-50k Employees (India),,2.4k,13.8k,160,266
Wipro Infotech ,4,Bangalore + 116 more,Bangalore, 116,Private,77,1 Lakh+ Employees (Global),,2.3k,3.9k,,48
State Bank of India ,3.9,"Mumbai,Maharashtra + 336 more",Mumbai, 336,,216,1 Lakh+ Employees (India),,4.7k,9.6k,142,100
ICICI Lombard General Insurance Company ,3.9,"Mumbai,Maharashtra + 195 more",Mumbai, 195,Public,21,10k-50k Employees (India),,2.3k,12.9k,118,78
Schneider Electric ,4.2,Paris + 78 more,Paris, 78,Private,23,10k-50k Employees (India),,3.8k,14.3k,191,110
