campany_name,rating,headquarter,headquarter,num_of_locations,pub_or_pri,how long,employees,reviews,reviews,salaries,jobs,interviews
Al-Muhaidib Contracting Co. ,4.8,Dammam + 7 more,Dammam, 7,,79,10k-50k Employees (Global),,55,27,,
Kifs Housing Finance ,4.1,Ahmedabad + 24 more,Ahmedabad, 24,Private,7,51-200 Employees (India),,55,293,,1
Anjan Drug ,3.4,"Chennai,Tamil Nadu + 1 more",Chennai, 1,Private,32,51-200 Employees (India),,55,301,8,5
Qarmatek Services ,3.5,"Ahmedabad,Gujarat + 6 more",Ahmedabad, 6,Private,11,11-50 Employees (India),,55,286,5,6
BetterPlace Select ,4.2,"Bangalore/Bengaluru,Karnataka + 16 more",Bangalore/Bengaluru, 16,Private,8,201-500 Employees (Global),,55,486,124,7
Apollomedics Super Speciality Hospitals ,4.2,"Lucknow,Uttar Pradesh",Lucknow,#VALUE!,,11,201-500 Employees (India),,55,325,,9
Sun Mobility ,4,"Bangalore,Karnataka + 3 more",Bangalore, 3,JV,5,11-50 Employees (India),,55,390,8,2
ABS India ,3.8,"Bangalore/Bengaluru,Karnataka + 10 more",Bangalore/Bengaluru, 10,Private,20,201-500 Employees (India),,55,673,13,2
Globsyn-3rdLife ,2.4,"Calcutta,west Bengal",Calcutta,#VALUE!,,5,1k-5k Employees (India),,55,149,,2
Ornate TechnoServices ,4.6,"New Delhi,Delhi + 13 more",New Delhi, 13,Private,13,51-200 Employees (India),,55,58,1,
GRAVEIENS EDUSERVICES ,4,"Noida,Uttar Pradesh + 5 more",Noida, 5,,5,1-10 Employees (India),,55,32,,1
Fresa Technologies ,4.8,"Chennai,Tamil Nadu + 3 more",Chennai, 3,Private,10,11-50 Employees (India),,55,39,,1
Vasan Health Care ,4.1,"Chennai,Tamil Nadu + 24 more",Chennai, 24,Private,20,11-50 Employees (India),,319,113,,
Isys Softech ,3.7,"Jaipur,Rajasthan",Jaipur,#VALUE!,Private,22,201-500 Employees (India),,54,272,,1
Crystal Travel ,3.8,London,#VALUE!,#VALUE!,,35,,,54,244,,
Inspace Technologies ,4.1,Chennai + 8 more,Chennai, 8,Private,19,51-200 Employees (India),,54,390,,
Mumbai Port Trust ,4.3,Mumbai + 2 more,Mumbai, 2,Private,149,,,54,121,,
Cxc Infotech ,3.6,Dallas,#VALUE!,#VALUE!,Private,12,201-500 Employees (India),,54,247,,3
Digital Aptech ,4.4,"Kolkata,West Bengal",Kolkata,#VALUE!,Private,10,51-200 Employees (India),,54,227,31,1
OSP Labs ,4.4,"Arlington,Texas + 1 more",Arlington, 1,Private,13,51-200 Employees (India),,54,183,8,4
Pan Seeds ,3.9,Kolkata + 10 more,Kolkata, 10,Private,47,51-200 Employees (India),,54,167,5,8
Eastman Cast & Forge ,3.4,"Ludhiana,Punjab + 4 more",Ludhiana, 4,Public,33,51-200 Employees (India),,54,249,,2
Al Shifa Multispeciality Hospital ,4.4,New Delhi + 8 more,New, 8,Private,11,11-50 Employees (India),,54,116,1,
Jaipur Golden Transport ,3.8,Delhi + 17 more,Delhi, 17,Private,74,1k-5k Employees (India),,54,183,,
Weaverbird Engineering Technology ,3.7,New Delhi + 7 more,New, 7,Private,17,201-500 Employees (India),,54,228,,1
Brady Corporation ,3.9,Milwaukee + 5 more,Milwaukee, 5,Public,108,5k-10k Employees (Global),,54,333,3,
Energy Technical Services ,2.7,Doha + 6 more,Doha, 6,Private,17,201-500 Employees (Global),,54,203,,1
Span Pumps ,3.3,Pune + 6 more,Pune, 6,,35,51-200 Employees (India),,54,216,3,4
ALKRAFT THERMOTECHNOLOGIES ,3.7,Chennai + 1 more,Chennai, 1,Private,28,51-200 Employees (India),,54,273,,1
Sagar Asia ,3.9,Secunderabad + 7 more,Secunderabad, 7,Private,45,51-200 Employees (India),,54,229,3,1
Exemed Pharmaceuticals ,3.9,Vadodara + 2 more,Vadodara, 2,,13,51-200 Employees (India),,54,430,4,5
Echjay Industries ,4.2,Mumbai + 2 more,Mumbai, 2,Private,52,1k-5k Employees (India),,54,247,,3
"Altruista Health, Inc ",3.9,"Reston,Virginia",Reston,#VALUE!,Private,15,201-500 Employees (India),,54,532,4,3
Pasco Motors ,4.1,Gurgaon + 9 more,Gurgaon, 9,Private,55,51-200 Employees (India),,54,207,,
Forace Polymers ,3.6,Haridwar,#VALUE!,#VALUE!,Private,42,51-200 Employees (India),,54,314,,5
Premium Chick Feeds ,4,Pune + 22 more,Pune, 22,,31,501-1k Employees (India),,54,221,,2
M Intergraph Systems ,2.9,New Delhi + 5 more,New, 5,Private,32,201-500 Employees (India),,54,153,,
Indus Software Technologies ,3.6,"Pune,Maharashtra + 4 more",Pune, 4,Private,32,501-1k Employees (Global),,54,196,4,
Pran Rfl Group ,3.9,"Dhaka,Dhaka + 15 more",Dhaka, 15,Public,41,50k-1 Lakh Employees (Global),,54,165,,
Century Real Estate ,3.9,"Bangalore/Bengaluru,Karnataka + 1 more",Bangalore/Bengaluru, 1,Private,49,201-500 Employees (India),,54,310,23,1
Siddheshwar Industries ,2.7,Pune + 2 more,Pune, 2,,28,,,54,158,,
NIPL ,3.6,Noida + 21 more,Noida, 21,,17,,,54,215,,1
Volkswagen Finance ,4.4,Mumbai + 9 more,Mumbai, 9,Private,13,51-200 Employees (India),,54,286,,
Ahlada Engineers ,4.1,"Hyderabad/Secunderabad,Telangana + 2 more",Hyderabad/Secunderabad, 2,Public,17,1k-5k Employees (India),,54,358,,1
Great Software Laboratory ,4.5,"Pune,Maharashtra",Pune,#VALUE!,,19,1k-5k Employees (India),,54,661,2,1
WWF-India ,3.3,"Delhi/NCR,Delhi + 9 more",Delhi/NCR, 9,NGO/NPO,53,51-200 Employees (India),,54,155,2,2
Galaxy Group ,3.8,Noida + 10 more,Noida, 10,,14,11-50 Employees (India),,54,373,1,
Sahara Q Shop ,3.6,Mumbai + 22 more,Mumbai, 22,,10,10k-50k Employees (India),,54,77,,
Anvil Cables ,4.4,Kolkata + 7 more,Kolkata, 7,Private,13,201-500 Employees (India),,54,289,,2
Monomark Engineering ,4.2,Chittorgarh + 7 more,Chittorgarh, 7,,37,1k-5k Employees (India),,54,272,8,3
ACS Technologies ,3.8,Hyderabad + 9 more,Hyderabad, 9,Private,42,51-200 Employees (India),,54,389,,3
Lindstrom Services ,3.6,Helsinki + 10 more,Helsinki, 10,,174,501-1k Employees (India),,54,281,,4
Yash Pharma Laboratories ,4.1,Thane + 15 more,Thane, 15,Private,50,201-500 Employees (India),,54,194,,2
Beyond Key Systems ,4.5,"Chicago,Illinois",Chicago,#VALUE!,Private,17,51-200 Employees (India),,54,265,12,4
Lakshmi Ring Travellers ,4,Coimbatore,#VALUE!,#VALUE!,Private,48,201-500 Employees (India),,54,282,,2
Shingora Textiles ,3.5,Ludhiana + 2 more,Ludhiana, 2,Private,46,501-1k Employees (India),,54,182,,1
Gauhati High Court ,4.6,Guwahati + 2 more,Guwahati, 2,Public,75,,,54,260,,1
Abhyudaya Co-operative Bank ,3.7,Mumbai + 10 more,Mumbai, 10,Private,58,51-200 Employees (India),,54,212,,
VKALP Outsourcing Services ,4,"Jaipur,Rajasthan",Jaipur,#VALUE!,Private,20,201-500 Employees (India),,54,204,8,2
Jaatvedas Construction Company ,3.6,Mumbai + 5 more,Mumbai, 5,Private,22,51-200 Employees (India),,54,212,2,
Eos ,3.2,Thane + 5 more,Thane, 5,Private,25,501-1k Employees (India),,54,152,8,2
Sewells MSXI ,3.8,Detroit + 11 more,Detroit, 11,Private,38,5k-10k Employees (Global),,54,242,,1
Royal Care Super Speciality Hospital ,4.3,Coimbatore + 2 more,Coimbatore, 2,,7,201-500 Employees (India),,54,211,,
Kd Campus ,3.8,New Delhi + 10 more,New, 10,Private,7,51-200 Employees (India),,54,145,,2
Entra Solutions ,3.7,"Gurgaon/Gurugram,Haryana + 2 more",Gurgaon/Gurugram, 2,Private,7,51-200 Employees (India),,54,251,2,4
POWERCON Ventures India ,3.6,Pune + 4 more,Pune, 4,Private,14,51-200 Employees (Global),,54,278,7,3
A G Construction ,3.7,Ontario + 23 more,Ontario, 23,Private,34,11-50 Employees (India),,54,64,,
Emitec Emission Control Technologies ,3.9,Lohmar + 3 more,Lohmar, 3,Private,93,51-200 Employees (India),,54,115,,2
Om Enterprises ,4.2,"Delhi/NCR,Delhi + 20 more",Delhi/NCR, 20,Private,30,1k-5k Employees (India),,54,469,1,
Wade Adams Contracting ,4.4,Dubai + 1 more,Dubai, 1,,46,51-200 Employees (India),,54,102,,
Hyoseong Electric ,3.3,Busan + 4 more,Busan, 4,Public,49,51-200 Employees (India),,54,333,,4
KEO International Consultants ,4.6,Kuwait City + 3 more,Kuwait, 3,,58,501-1k Employees (India),,54,80,,3
Beam Suntory ,4.4,Chicago + 18 more,Chicago, 18,,8,501-1k Employees (India),,54,264,2,2
Merrill Technology Services ,3.2,"New York City,New York",New York City,#VALUE!,LLC,54,501-1k Employees (Global),,54,262,,1
Magna Steyr ,4.7,"Aurora,Ontario",Aurora,#VALUE!,Private,65,51-200 Employees (India),,54,495,24,1
Sterling Electro Enterprises ,3.6,Mumbai + 5 more,Mumbai, 5,Private,30,50k-1 Lakh Employees (India),,54,156,,1
Tvisha Technologies ,4.5,"Edison,New Jersey",Edison,#VALUE!,Private,19,51-200 Employees (India),,54,163,2,
Bagrrys India ,4.5,"Delhi/NCR,New Delhi + 10 more",Delhi/NCR, 10,Private,36,51-200 Employees (India),,54,160,1,
Roto Power Projects Pvt . (A Campany of Tenon) ,4.3,Noida + 10 more,Noida, 10,,37,,,54,162,,1
Minilec ,3.5,"Pune,Maharashtra + 2 more",Pune, 2,Private,57,501-1k Employees (India),,54,228,,1
UniverCell Telecommunications ,4.5,Chennai + 16 more,Chennai, 16,Private,25,1-10 Employees (India),,54,105,,
SOTI ,3.7,Mississauga + 2 more,Mississauga, 2,Private,27,201-500 Employees (India),,54,543,13,2
BTW India ,2.7,"Delhi/NCR,New Delhi + 3 more",Delhi/NCR, 3,Private,31,1k-5k Employees (India),,54,202,8,4
News Nation ,3.9,Noida + 3 more,Noida, 3,Private,9,201-500 Employees (India),,54,250,,2
ETP International ,4.3,Singapore + 2 more,Singapore, 2,Private,34,51-200 Employees (India),,54,318,19,2
Planet PCI Infotech ,3.9,"Gurgaon,Haryana + 14 more",Gurgaon, 14,,23,51-200 Employees (India),,54,334,15,4
Sanat Products ,3.9,Delhi + 10 more,Delhi, 10,,38,201-500 Employees (India),,54,121,1,
Bonjour ,4.2,"Greater Noida,Uttar Pradesh + 7 more",Greater Noida, 7,Private,34,51-200 Employees (India),,54,137,4,3
Black Turtle ,4.1,"Mumbai,Maharashtra + 4 more",Mumbai, 4,Private,5,201-500 Employees (India),,54,229,917,2
Jesons Industries ,3.7,Mumbai + 5 more,Mumbai, 5,Private,50,501-1k Employees (India),,54,489,,2
Continental Carbon India ,3.9,Ghaziabad + 1 more,Ghaziabad, 1,Private,22,201-500 Employees (India),,54,299,,1
BI WORLDWIDE ,4.1,"Bangalore/Bengaluru,Karnataka + 3 more",Bangalore/Bengaluru, 3,Private,72,51-200 Employees (India),,54,362,10,3
GOOD ,4.1,Almaty + 20 more,Almaty, 20,Private,18,50k-1 Lakh Employees (India),,54,139,,5
Motorola Solutions ,3.9,"Gurgaon/Gurugram,Illinois + 3 more",Gurgaon/Gurugram, 3,Private,23,1k-5k Employees (India),,54,657,75,3
Hotstar ,3,"Mumbai,Maharashtra + 6 more",Mumbai, 6,Private,7,501-1k Employees (Global),,54,665,167,8
Klouddata Labs ,2.5,California + 2 more,California, 2,Private,22,51-200 Employees (India),,54,80,,
Hero Corporate Services ,4.4,"Delhi/NCR,New Delhi + 18 more",Delhi/NCR, 18,Private,38,201-500 Employees (India),,54,399,,
Shriji Polymers ,4.5,Ujjain + 5 more,Ujjain, 5,Public,19,51-200 Employees (India),,54,227,,
STP ,3.8,Whiteley + 12 more,Whiteley, 12,Private,27,201-500 Employees (India),,54,305,77,3
Consultancy Services ,4.4,Rajkot + 19 more,Rajkot, 19,Private,12,11-50 Employees (India),,54,1.1k,1,3
Hofincons Group ,4.1,"Saif Zone,Sharjah + 9 more",Saif Zone, 9,LLC,42,10k-50k Employees (India),,54,364,,1
One Auto ,3.8,Kolkata + 4 more,Kolkata, 4,Private,11,201-500 Employees (India),,54,174,,3
Webware.io ,4,Toronto + 2 more,Toronto, 2,Private,7,201-500 Employees (India),,54,152,5,
MES ,4.3,Rockville + 21 more,Rockville, 21,Private,30,,,54,211,,
Petroserv ,4,Doha + 3 more,Doha, 3,,44,201-500 Employees (India),,54,176,,2
HCIL ,4.2,Greater Noida + 11 more,Greater, 11,Public,27,5k-10k Employees (Global),,54,155,,1
Krish Compusoft Services ,4.3,"Iselin,New Jersey + 2 more",Iselin, 2,Private,21,201-500 Employees (India),,54,323,10,2
Zenith Industrial Rubber Products ,3.5,Mumbai + 4 more,Mumbai, 4,,57,201-500 Employees (India),,54,325,,2
Model N ,4.5,San Mateo,San,#VALUE!,Private,23,501-1k Employees (India),,54,533,53,1
Manugraph India ,4.2,"Mumbai,Maharashtra + 5 more",Mumbai, 5,Public,50,51-200 Employees (India),,54,185,,
Great White Global ,4.2,Mumbai + 11 more,Mumbai, 11,Private,59,201-500 Employees (India),,54,276,,3
Azuga Telematics ,3.4,"San Jose,California",San Jose,#VALUE!,Private,10,51-200 Employees (India),,54,500,4,3
Milky Mist Dairy Food ,3.7,"Erode,Tamil Nadu + 12 more",Erode, 12,Private,8,501-1k Employees (India),,54,391,,4
Transport Solutions India ,3.1,Mumbai + 9 more,Mumbai, 9,Private,22,51-200 Employees (India),,54,386,,2
Diamond Pick ,4.2,"Iselin,New Jersey",Iselin,#VALUE!,Private,28,501-1k Employees (India),,54,494,11,5
Cropdata Technology ,4.2,"Nagpur,Maharashtra + 9 more",Nagpur, 9,Private,6,501-1k Employees (India),,54,114,4,2
Fleetx.io ,4.6,"Gurgaon,Haryana + 7 more",Gurgaon, 7,Private,5,201-500 Employees (India),,54,394,34,4
DotPe ,3.5,"Gurgaon,Haryana + 4 more",Gurgaon, 4,Private,3,201-500 Employees (India),,54,440,8,9
1K Kirana Bazaar ,3.5,"Gurgaon,Haryana + 9 more",Gurgaon, 9,,4,1k-5k Employees (India),,54,312,120,3
LatentBridge ,4.5,"London,England + 4 more",London, 4,Private,4,51-200 Employees (India),,54,24,36,2
Prasad & Company ,4.2,Hyderabad + 13 more,Hyderabad, 13,,59,1k-5k Employees (India),,54,163,,1
CLEARSYNTH ,3.3,"Mumbai,Maharashtra",Mumbai,#VALUE!,,13,201-500 Employees (India),,54,290,,4
Infibeam Avenues ,3.3,"Gandhinagar,Gujrat + 7 more",Gandhinagar, 7,Public,15,501-1k Employees (India),,54,566,10,3
InstaReM  ,4,"Mumbai,Maharashtra + 6 more",Mumbai, 6,Private,8,51-200 Employees (India),,54,465,44,1
The Bank of Tokyo-Mitsubishi UFJ ,3.9,Tokyo + 7 more,Tokyo, 7,Public,103,1 Lakh+ Employees (India),,520,161,,
LexisNexis ,4.3,New York + 4 more,New, 4,Private,52,201-500 Employees (India),,74,318,,
Axis Mutual Fund ,3.8,Mumbai + 17 more,Mumbai, 17,Public,13,501-1k Employees (India),,53,302,,1
Kasturba Hospital ,4.5,New Delhi + 6 more,New, 6,Private,117,501-1k Employees (India),,53,229,,
Lookman Electroplast Industries ,4.4,Chennai + 10 more,Chennai, 10,Public,43,51-200 Employees (India),,53,189,14,1
Piccadily Hotels ,3.5,New Delhi + 7 more,New, 7,Private,49,51-200 Employees (India),,53,181,,
Ultra Media and Entertainment ,3,"Mumbai,Maharashtra + 3 more",Mumbai, 3,Private,65,201-500 Employees (India),,53,196,38,
Kaivalya Education Foundation ,4.1,Ahmedabad + 14 more,Ahmedabad, 14,Private,14,201-500 Employees (Global),,53,159,,2
Risk Management Solutions ,3.8,Newark + 2 more,Newark, 2,Private,34,201-500 Employees (India),,53,423,5,3
Textron ,3.9,Providence + 4 more,Providence, 4,Public,99,201-500 Employees (India),,53,339,3,1
HERO ECOTECH ,4.1,Ludhiana + 2 more,Ludhiana, 2,Public,12,51-200 Employees (India),,53,273,,3
Tata Steel Mining ,3.9,Bhubaneswar + 12 more,Bhubaneswar, 12,Private,18,201-500 Employees (India),,53,211,,5
Emiza Supply Chain Services ,3.8,Mumbai + 10 more,Mumbai, 10,Private,7,201-500 Employees (India),,53,172,6,
Travel Retail Services ,4.1,New Delhi + 11 more,New, 11,,10,201-500 Employees (Global),,53,228,,1
Dtss ,4.3,Bengaluru + 13 more,Bengaluru, 13,,14,10k-50k Employees (Global),,53,297,,1
Hnb Engineers ,4,Pune + 6 more,Pune, 6,Private,49,11-50 Employees (India),,53,201,,
Dit University ,3.7,Dehradun + 2 more,Dehradun, 2,Private,24,201-500 Employees (India),,53,193,,2
ECI Engineering & Construction Co. ,4.4,Hyderabad + 9 more,Hyderabad, 9,,48,1k-5k Employees (Global),,53,180,,
ARCTERN CONSULTING ,3,"Bangalore/Bengaluru,Karnataka + 3 more",Bangalore/Bengaluru, 3,Private,18,201-500 Employees (India),,53,270,25,3
Bray Controls ,3.7,Houston + 3 more,Houston, 3,Private,36,51-200 Employees (India),,53,321,,2
KOHINOOR TELEVIDEO ,3.3,Mumbai + 4 more,Mumbai, 4,Public,55,501-1k Employees (India),,53,213,3,2
Rhenus Logistics ,3.9,Holzwickede + 10 more,Holzwickede, 10,Private,110,51-200 Employees (India),,53,347,2,2
Piano Presitel ,3.3,Thane + 1 more,Thane, 1,,44,501-1k Employees (India),,53,255,2,2
World Health Partners ,4.8,New Delhi + 10 more,New, 10,,14,10k-50k Employees (India),,53,100,1,
Sgt Medical College Hospital Research Institute ,3.7,Gurgaon + 3 more,Gurgaon, 3,Private,12,501-1k Employees (India),,53,219,,1
vCentric Technologies ,3.1,"Hyderabad/Secunderabad,Telangana + 7 more",Hyderabad/Secunderabad, 7,Private,18,201-500 Employees (Global),,53,149,,
Alexis Multispeciality Hospital ,4.3,Nagpur,#VALUE!,#VALUE!,,12,201-500 Employees (India),,53,270,9,
MQSYS Technologies ,3.9,Indore + 3 more,Indore, 3,Private,10,201-500 Employees (India),,53,831,12,4
Rampex Labs ,4,Medak,#VALUE!,#VALUE!,Private,18,51-200 Employees (India),,53,258,,
Vasu Chemicals ,4,Mumbai + 12 more,Mumbai, 12,LLP,51,501-1k Employees (India),,53,247,,1
Little Laureates ,3.2,Kolkata + 3 more,Kolkata, 3,,11,51-200 Employees (India),,53,140,,
Mtg Learning Media ,4.4,Gurugram + 4 more,Gurugram, 4,Private,40,51-200 Employees (India),,53,285,,6
Ketto ,4.3,"Mumbai,Maharashtra + 2 more",Mumbai, 2,Private,10,201-500 Employees (India),,53,210,81,2
Ruparel Realty ,3.6,Mumbai + 2 more,Mumbai, 2,Private,22,201-500 Employees (India),,53,301,,2
AirNet Infotech ,3.8,Noida + 13 more,Noida, 13,Private,7,201-500 Employees (Global),,53,133,,
QNFS ,4.6,Doha + 3 more,Doha, 3,,50,501-1k Employees (Global),,53,32,,1
Vibatel Solutions ,3.7,Secunderabad + 3 more,Secunderabad, 3,Private,15,201-500 Employees (Global),,53,246,,5
Delhi Public World School ,3.4,Jaipur + 22 more,Jaipur, 22,,6,11-50 Employees (India),,53,120,,
Akshar Elecinfra ,4.4,Vadodara + 5 more,Vadodara, 5,Private,36,501-1k Employees (India),,53,229,,1
Usha Fire Safety Equipments ,3.7,Chennai + 9 more,Chennai, 9,,34,51-200 Employees (India),,53,362,28,2
Umasons Auto Compo ,4.1,Aurangabad,#VALUE!,#VALUE!,,22,51-200 Employees (India),,53,220,,3
Dlecta Foods ,4,"Mumbai,Maharashtra + 11 more",Mumbai, 11,Private,21,51-200 Employees (India),,53,207,5,1
Valuepoint Knowledgeworks ,3.4,Banglore + 3 more,Banglore, 3,Private,21,201-500 Employees (India),,53,207,4,1
Vi-son Industries ,3.2,Mumbai + 7 more,Mumbai, 7,Private,25,501-1k Employees (Global),,53,222,4,
K7 Computing ,4.2,"Chennai,Tamil Nadu + 9 more",Chennai, 9,Private,31,51-200 Employees (India),,53,345,11,
ARCOP Associates ,3.9,New Delhi + 4 more,New, 4,Private,52,51-200 Employees (India),,53,190,1,2
Cellcomm Solutions ,3.3,Bengaluru + 9 more,Bengaluru, 9,Private,26,201-500 Employees (India),,53,225,,1
Nalanda Educational Institutions ,3.8,"Vijayawada,Andhra Pradesh + 10 more",Vijayawada, 10,Private,34,1k-5k Employees (Global),,53,190,,2
E2E Networks ,3.8,"Delhi,NCT + 4 more",Delhi, 4,Public,13,51-200 Employees (India),,53,215,12,
Indian Potash ,3.8,Chennai + 17 more,Chennai, 17,Private,67,1k-5k Employees (India),,53,263,,3
Axtel Industries ,4.4,"Vadodara/Baroda,Gujrat + 1 more",Vadodara/Baroda, 1,Public,31,51-200 Employees (India),,53,343,2,2
Gems International School ,3.7,Dubai + 10 more,Dubai, 10,Private,63,10k-50k Employees (Global),,53,151,,
Computer Generated Solutions ,3.4,New York + 2 more,New, 2,Private,38,201-500 Employees (India),,53,426,,3
Nippon Data Systems ,3.8,"Noida,Uttar Pradesh + 7 more",Noida, 7,Private,28,201-500 Employees (India),,53,420,43,6
Total Logistics ,4.3,Mumbai + 19 more,Mumbai, 19,Private,24,201-500 Employees (India),,53,201,,1
St. Joseph's College ,3.4,Bengaluru + 16 more,Bengaluru, 16,Private,140,51-200 Employees (India),,53,173,,
Swafe Business Process Management ,3.6,Bengaluru + 14 more,Bengaluru, 14,Private,14,10k-50k Employees (India),,53,106,,
United Technologies ,3.8,Waltham + 8 more,Waltham, 8,,88,201-500 Employees (India),,53,334,10,1
IIT Guwahati ,4.4,Guwahati + 6 more,Guwahati, 6,Private,28,501-1k Employees (India),,53,176,,1
Agrawal Metal Works ,3.7,New Delhi + 4 more,New, 4,Private,66,51-200 Employees (Global),,53,234,,4
The Claridges Hotel ,4.4,New Delhi + 3 more,New, 3,Private,70,501-1k Employees (India),,53,145,,2
Advanced Business Healthcare Solutions ,3.9,"Datchet,Berkshire + 2 more",Datchet, 2,Private,21,501-1k Employees (India),,53,687,22,3
Durr India ,4.1,"Bietigheim-bissingen,Baden-wurttemberg + 5 more",Bietigheim-bissingen, 5,Private,25,201-500 Employees (India),,53,419,12,1
The Yellow Chilli ,4.4,Mumbai + 14 more,Mumbai, 14,,21,51-200 Employees (India),,53,139,1,
Al Tayer Group ,3.9,Dubai + 5 more,Dubai, 5,Private,43,5k-10k Employees (India),,53,121,,
Vanasthali Public School ,3.1,"Ghaziabad,Uttar Pradesh + 6 more",Ghaziabad, 6,,44,,,53,156,,1
Toyota Lakozy Auto ,4.3,Mumbai + 1 more,Mumbai, 1,Private,23,1 Lakh+ Employees (India),,53,174,,1
Emkay Global Financial Services ,3.7,"Mumbai,Maharashtra + 13 more",Mumbai, 13,Public,27,51-200 Employees (India),,53,340,48,1
Sterling Auxiliaries ,3.9,Mumbai + 4 more,Mumbai, 4,,38,51-200 Employees (India),,53,303,13,3
Rabwin Industries ,3.8,Coimbatore,#VALUE!,#VALUE!,,23,11-50 Employees (India),,53,450,,4
Etech ,4.1,Nacogdoches + 4 more,Nacogdoches, 4,Private,25,1k-5k Employees (India),,53,141,1,3
Crystal Voxx ,3.7,Larenceville + 2 more,Larenceville, 2,LLP,30,51-200 Employees (India),,53,230,18,3
FCI CCM ,4.3,"Noida,Uttar Pradesh + 5 more",Noida, 5,,63,1k-5k Employees (India),,53,150,10,2
KPTCL ,4.3,Bengaluru + 13 more,Bengaluru, 13,Private,23,1 Lakh+ Employees (India),,53,203,,2
Nightingales Home Health Services ,3.8,"Bangalore/Bengaluru,Karnataka + 8 more",Bangalore/Bengaluru, 8,Private,26,201-500 Employees (India),,53,162,9,1
Ganga Medical Centre & Hospitals ,4.4,Coimbatore + 10 more,Coimbatore, 10,,44,501-1k Employees (India),,53,264,,3
Vijayasri Organics ,3.8,Hyderabad + 1 more,Hyderabad, 1,Public,36,201-500 Employees (India),,53,303,,2
Nxtgen Datacenter Cloud Technologies ,3.6,"Bangalore,Karnataka + 4 more",Bangalore, 4,Private,10,201-500 Employees (India),,53,371,1,1
Prasad Group ,4,Ahmedabad + 10 more,Ahmedabad, 10,,38,501-1k Employees (India),,53,288,,
Mahindra Powerol ,3.8,Mumbai + 23 more,Mumbai, 23,Public,21,51-200 Employees (India),,53,242,1,3
SUNDIRECT ,4.1,Chennai + 10 more,Chennai, 10,,15,,,53,224,,2
Gulf Catering Company ,4.2,Riyadh + 6 more,Riyadh, 6,,36,5k-10k Employees (India),,53,84,,
National Public School ,3.5,Bengaluru + 9 more,Bengaluru, 9,Private,9,201-500 Employees (Global),,53,329,10,1
Gina Engineering Company ,3.6,"Bangalore/Bengaluru,Karnataka + 4 more",Bangalore/Bengaluru, 4,Private,58,201-500 Employees (India),,53,218,,1
Konkan Railway Corporation ,4.1,Navi Mumbai + 10 more,Navi, 10,Private,51,5k-10k Employees (Global),,53,243,,
Phimetrics ,3.4,Mumbai + 9 more,Mumbai, 9,Private,14,51-200 Employees (Global),,53,105,1,
Best Western ,4.1,Phoenix + 15 more,Phoenix, 15,Private,76,501-1k Employees (India),,53,163,,3
Premier ,4.3,"San Francisco,California + 11 more",San Francisco, 11,Public,78,201-500 Employees (India),,53,311,1,1
Brennan IT ,3.6,"Mumbai,Maharashtra + 2 more",Mumbai, 2,Private,25,51-200 Employees (India),,53,237,,1
PMC ,4.2,Mumbai + 22 more,Mumbai, 22,Private,38,10k-50k Employees (Global),,53,266,1,3
Edutel Technologies ,3.3,"Bangalore,Karnataka + 4 more",Bangalore, 4,,12,51-200 Employees (India),,53,130,1,
Charoen Pokphand Group ,3.8,Bangkok + 18 more,Bangkok, 18,Public,101,201-500 Employees (India),,53,145,,1
Infosearch BPO Services ,3.2,"Chennai,Tamil Nadu",Chennai,#VALUE!,Private,17,51-200 Employees (India),,53,303,,2
Orbit Technologies ,3.8,Hyderabad + 16 more,Hyderabad, 16,Private,27,51-200 Employees (India),,53,306,1,
Arvind Textile Mills ,4.3,"Ahmedabad,Gujarat + 7 more",Ahmedabad, 7,,91,10k-50k Employees (Global),,53,352,,5
Hiranandani Financial Services ,4,"Mumbai,Maharashtra + 20 more",Mumbai, 20,,5,501-1k Employees (India),,53,237,5,3
Deqode ,4.7,"San Francisco,California",San Francisco,#VALUE!,Private,10,51-200 Employees (India),,53,192,49,1
Pandit Ventures ,4.3,"Ahmedabad,Gujarat",Ahmedabad,#VALUE!,Private,19,51-200 Employees (India),,53,98,1,
Visas Avenue ,4,"Delhi/NCR,Delhi + 6 more",Delhi/NCR, 6,Private,9,51-200 Employees (India),,53,167,1,1
Zopsmart Technology ,3.8,"Bangalore,Karnataka + 8 more",Bangalore, 8,Private,8,201-500 Employees (India),,53,286,7,5
Yashaswi Academy For Skills ,3.7,Pune + 18 more,Pune, 18,Private,38,501-1k Employees (India),,53,190,,1
WorkIndia ,3.4,"Mumbai,Maharashtra + 6 more",Mumbai, 6,Private,7,201-500 Employees (India),,53,403,33,9
NSH Nasser Saeed AlHajri Co. Qatar ,4,Doha + 13 more,Doha, 13,,44,1-10 Employees (India),,53,87,,2
Triumph International ,4.6,Bad Zurzach + 7 more,Bad, 7,,136,201-500 Employees (India),,53,185,,
Hindustan Composites ,3.5,Mumbai + 6 more,Mumbai, 6,Public,58,501-1k Employees (India),,53,246,1,
RVU India ,4.4,Gurgaon + 1 more,Gurgaon, 1,Private,13,201-500 Employees (India),,53,235,,2
Physicswallah ,4.5,"Allahabad,Uttar Pradesh + 11 more",Allahabad, 11,Private,2,201-500 Employees (India),,53,257,49,8
Vodafone Intelligent Services ,4.2,Pune + 2 more,Pune, 2,,16,,,53,280,,8
