Company Name,Rating,Locations,Headquarter,Number of locations,Public or private,How long since founded,Number of employees,Number of reviews,Amount of salaries,Number of jobs,Number of interviews,Country,Continent
Dr. Reddy's ,4.2,"Hyderabad/Secunderabad,Telangana + 131 more",Secunderabad,132,Public,36,10k-50k Employees (India),4900,18700,286,156,India,Asia
Startek ,3.4,"Mumbai,Maharashtra + 50 more",Mumbai,51,Public,5,5k-10k Employees (India),4700,16100,70,148,India,Asia
Mphasis ,3.8,"Bangalore/Bengaluru,Karnataka + 41 more",Bangalore,42,Public,24,10k-50k Employees (India),4600,42200,193,285,India,Asia
Sutherland Global Services ,3.9,"Pittsford,New York + 41 more",Pittsford,42,Private,36,10k-50k Employees (India),5000,19900,340,197,United States of America,Americas
Jana Small Finance Bank ,3.9,"Bangalore/Bengaluru,Karnataka + 306 more",Bangalore,307,Public,16,10k-50k Employees (India),4500,17300,52,117,India,Asia
Cipla Pharmaceutical ,4.1,"Mumbai,Maharashtra + 185 more",Mumbai,186,Public,87,10k-50k Employees (India),4700,20100,20,220,India,Asia
Yes Bank ,4,"Mumbai,Maharashtra + 355 more",Mumbai,356,Public,18,10k-50k Employees (India),4400,36800,38,179,India,Asia
ICICI Prudential Life Insurance ,4.1,"Mumbai,Maharashtra + 399 more",Mumbai,400,Public,22,10k-50k Employees (India),4400,22700,149,170,India,Asia
Asian Paints ,4.3,"Mumbai,Maharashtra + 335 more",Mumbai,336,Public,80,10k-50k Employees (India),4600,17600,102,248,India,Asia
NTT DATA ,4,"Chiyoda City,Tokyo + 39 more",Chiyoda City,40,Private,34,10k-50k Employees (India),4500,41300,257,256,Japan,Asia
Udaan ,4.2,"Bangalore,Karnataka + 295 more",Bangalore,296,Private,6,1k-5k Employees (India),4100,20500,286,195,India,Asia
Indian Army ,4.7,"New Delhi,Delhi + 265 more",New Delhi,266,Public,127,1 Lakh+ Employees (India),4100,11000,0,65,India,Asia
HDFC Life ,4,"Mumbai,Maharashtra + 399 more",Mumbai,400,Public,22,10k-50k Employees (India),5400,25300,114,176,India,Asia
EXL Service ,3.9,"New York City,New York + 30 more",New York City,31,Private,23,10k-50k Employees (India),5100,24300,147,239,United States of America,Americas
Home Credit Finance ,4.2,Gurugram + 102 more,Gurgaon,102,Private,10,5k-10k Employees (India),3900,10900,47,64,India,Asia
L&T Infotech ,3.9,"Mumbai,Maharashtra + 78 more",Mumbai,79,Public,26,10k-50k Employees (India),3800,53600,92,277,India,Asia
PwC ,3.8,London + 60 more,London,60,Partnership,24,10k-50k Employees (India),3800,47200,895,384,United Kingdom,Europe
Lupin ,4.1,"Mumbai,Maharashtra + 120 more",Mumbai,121,Public,54,10k-50k Employees (India),3800,18400,10,148,India,Asia
 Bajaj Finance ,4.2,"Pune,Maharashtra + 598 more",Pune,599,Private,35,10k-50k Employees (India),4200,20800,56,125,India,Asia
UltraTech Cement ,4.3,"Mumbai,Maharashtra + 330 more",Mumbai,331,Public,39,10k-50k Employees (India),4300,17100,8,177,India,Asia
Hindustan Unilever  ,4.3,"Mumbai,Maharashtra + 349 more",Mumbai,350,Public,89,10k-50k Employees (India),4300,18300,6,137,India,Asia
Zydus Cadila ,4.2,"Ahmedabad, India + 121 more",Ahmedabad,122,Public,70,10k-50k Employees (India),4600,15200,1,112,India,Asia
Bajaj Allianz Life Insurance ,4.2,Pune + 425 more,Pune,425,Private,21,10k-50k Employees (India),3700,22300,31,114,India,Asia
ITC ,3.9,"Kolkata,West Bengal + 224 more",Kolkata,225,Public,47,10k-50k Employees (India),7000,17300,33,219,India,Asia
Ujjivan Small Finance Bank ,4.1,"Bangalore/Bengaluru,Karnataka + 378 more",Bangalore,379,Public,5,10k-50k Employees (India),3600,13700,49,92,India,Asia
OPPO ,4,"Dongguan,Guangdong + 311 more",Dongguan,312,Public,18,10k-50k Employees (India),3700,13300,22,105,China,Asia
Mindtree ,4.1,"Bangalore/Bengaluru,Karnataka + 25 more",Bangalore,26,Public,23,10k-50k Employees (India),3500,53000,177,486,India,Asia
KPMG ,3.8,Bengaluru/Bangalore + 49 more,Bangalore,49,Partnership,35,10k-50k Employees (Global),3600,36600,264,337,India,Asia
IIFL ,3.9,"Mumbai,Maharashtra + 456 more",Mumbai,457,Public,27,10k-50k Employees (India),3400,18500,99,140,India,Asia
Shapoorji Pallonji Group ,4.3,"Mumbai,Maharashtra + 135 more",Mumbai,136,Private,157,5k-10k Employees (India),6600,12900,35,128,India,Asia
JP Morgan Chase ,4.2,"New York,New York + 20 more",New York,21,Private,22,10k-50k Employees (India),3400,45400,1200,248,United States of America,Americas
Ashok Leyland ,4.1,"Chennai,Tamil Nadu + 185 more",Chennai,186,Public,74,10k-50k Employees (India),3500,15200,0,106,India,Asia
Shriram Transport Finance  ,4.2,"Mumbai,Maharashtra + 652 more",Mumbai,653,Public,43,10k-50k Employees (India),3700,12400,0,89,India,Asia
Vivo ,4.1,"Gurgaon/Gurugram,Haryana + 324 more",Gurgaon,325,Private,13,5k-10k Employees (India),3400,12500,3,82,India,Asia
Sun Pharmaceutical Industries ,4.1,Mumbai + 141 more,Mumbai,141,Public,39,10k-50k Employees (India),3900,16000,109,134,India,Asia
Mahindra & Mahindra Financial Services ,4.3,"Mumbai,Maharashtra + 552 more",Mumbai,553,Public,31,10k-50k Employees (India),4800,11900,40,49,India,Asia
Aurobindo Pharma ,4.1,"Hyderabad/Secunderabad,Telangana + 52 more",Secunderabad,53,Public,36,10k-50k Employees (India),3600,16900,14,108,India,Asia
Intelenet Global Services ,3.7,"Mumbai,Maharashtra + 57 more",Mumbai,58,Private,22,10k-50k Employees (India),3300,8400,0,24,India,Asia
Wells Fargo India ,4.2,"San Francisco,California + 10 more",San Francisco,11,Public,170,10k-50k Employees (India),3300,29800,473,171,United States of America,Americas
Hewlett-Packard Enterprise ,4.3,"Houston,Texas + 88 more",Houston,89,Private,7,10k-50k Employees (India),3600,25100,50,124,United States of America,Americas
Fidelity National Information Services ,4.1,"Jacksonville,Florida + 32 more",Jacksonville,33,Private,54,10k-50k Employees (India),3400,27500,50,171,United States of America,Americas
Apollo Hospitals ,4.1,"San Francisco,California + 162 more",San Francisco,163,Public,39,50k-1 Lakh Employees (India),5200,12800,52,115,United States of America,Americas
Reliance Communications ,4,"Navi Mumbai,Maharashtra + 366 more",Navi Mumbai,367,Public,20,10k-50k Employees (India),4000,13000,2,40,India,Asia
Future Group ,4.2,"Mumbai,Maharashtra + 197 more",Mumbai,198,Private,9,50k-1 Lakh Employees (India),10100,12500,17,52,India,Asia
Bandhan Bank ,3.9,"Kolkata,West Bengal + 517 more",Kolkata,518,Public,21,50k-1 Lakh Employees (India),3300,17600,16,200,India,Asia
Siemens ,4.2,"Munich,Bavaria + 104 more",Munich,105,Public,175,10k-50k Employees (India),4700,21200,849,156,Germany,Europe
Nokia ,4.2,"Espoo,Southern Finland + 169 more",Espoo,170,Private,157,10k-50k Employees (India),4500,20900,51,123,Finland,Europe
Delhivery ,4.2,"Delhi,NCT + 450 more",Delhi,451,Private,11,10k-50k Employees (India),3400,12900,330,174,India,Asia
eClerx ,3.7,"Mumbai,Maharashtra + 16 more",Mumbai,17,Public,22,5k-10k Employees (India),3100,17700,26,158,India,Asia
Max Life Insurance ,4.2,"Gurgaon/Gurugram,Haryana + 282 more",Gurgaon,283,JV,22,10k-50k Employees (India),3000,16800,116,106,India,Asia
AU Small Finance Bank ,4.1,"Jaipur,Rajasthan + 282 more",Jaipur,283,Private,26,10k-50k Employees (India),4000,15000,96,166,India,Asia
First Source ,3.9,"Mumbai,Maharashtra + 44 more",Mumbai,45,Public,21,10k-50k Employees (India),3000,14100,175,101,India,Asia
TVS Motor ,4.2,"Chennai,Tamil Nadu + 236 more",Chennai,237,Public,43,10k-50k Employees (India),4400,11700,182,119,India,Asia
Oracle ,3.9,"Austin,Texas + 31 more",Austin,32,Public,45,50k-1 Lakh Employees (India),3700,41200,285,337,United States of America,Americas
Wipro BPS ,3.8,Bengaluru + 39 more,Bengaluru,39,,22,1 Lakh+ Employees (India),2900,12400,0,117,India,Asia
Tata Projects ,4.2,"Mumbai,Maharashtra + 193 more",Mumbai,194,Public,43,10k-50k Employees (India),3000,16000,38,150,India,Asia
Oyo Rooms ,3.5,"Gurgaon,Haryana + 103 more",Gurgaon,104,Private,9,1k-5k Employees (India),3100,21900,137,92,India,Asia
Hero MotoCorp ,4.3,"Gurgaon/Gurugram,Haryana + 261 more",Gurgaon,262,Public,38,5k-10k Employees (India),3000,11000,7,137,India,Asia
JSW Steel ,3.9,"Mumbai,Maharashtra + 90 more",Mumbai,91,Public,40,10k-50k Employees (India),3100,16700,10,159,India,Asia
Hexaware Technologies ,3.8,"Mumbai,Maharashtra + 30 more",Mumbai,31,Public,32,10k-50k Employees (India),2900,29900,315,192,India,Asia
JLL ,4.3,"Mumbai,Maharashtra + 59 more",Mumbai,60,Private,25,10k-50k Employees (India),2900,14500,50,90,India,Asia
Cyient ,3.7,"Hyderabad/Secunderabad,Telangana + 25 more",Secunderabad,26,Public,31,10k-50k Employees (India),2900,18200,603,91,India,Asia
TATA Steel ,4.1,"Mumbai,Maharashtra + 121 more",Mumbai,122,Public,115,10k-50k Employees (India),4500,13700,38,226,India,Asia
Hyundai Motor ,4.1,Seoul + 220 more,Seoul,220,Private,55,10k-50k Employees (India),3800,10600,6,98,South Korea,Asia
Bosch ,4.2,"Gerlingen,Baden-Wuerttemberg + 83 more",Gerlingen,84,Public,136,10k-50k Employees (India),6100,14200,13,135,Germany,Europe
JustDial ,3.5,"Mumbai,Maharashtra + 124 more",Mumbai,125,Public,26,10k-50k Employees (India),2800,13400,69,122,India,Asia
iEnergizer ,3.6,"Noida,Uttar Pradesh + 14 more",Noida,15,Private,22,5k-10k Employees (India),2700,12000,50,122,India,Asia
Atos Syntel ,3.7,"Troy,Michigan + 15 more",Troy,16,Private,42,10k-50k Employees (India),4500,24900,41,111,United States of America,Americas
Quess ,3.9,Bangalore + 318 more,Bangalore,318,Public,15,10k-50k Employees (India),8500,16700,199,141,India,Asia
Samsung ,4,Seoul + 350 more,Seoul,350,Public,84,10k-50k Employees (India),7300,25800,133,231,South Korea,Asia
Megha Engineering & Infrastructures ,4.2,"Hyderabad/Secunderabad,Telangana + 194 more",Secunderabad,195,Private,33,1k-5k Employees (India),2600,12100,6,165,India,Asia
Manappuram Finance ,4,"Thrissur/Trichur,Kerala + 382 more",Thrissur/Trichur,383,Public,73,10k-50k Employees (India),3300,8000,7,53,India,Asia
L&T Construction ,4.2,Chennai + 260 more,Chennai,260,Public,78,10k-50k Employees (India),3400,11600,0,260,India,Asia
Viatris ,4.3,"Canonsburg,Pennsylvania + 62 more",Canonsburg,63,,61,10k-50k Employees (India),2500,10000,4,55,United States of America,Americas
BNY Mellon ,4.2,"New York City,New York + 9 more",New York City,10,Private,18,10k-50k Employees (India),2500,20400,485,86,United States of America,Americas
Omega Healthcare ,3.7,Florida + 27 more,Florida,27,Private,18,5k-10k Employees (India),2500,12600,24,98,Uruguay,Americas
SBI Cards & Payment Services ,3.8,"Gurgaon/Gurugram,Haryana + 235 more",Gurgaon,236,Government,24,10k-50k Employees (India),2500,15300,459,94,India,Asia
Fullerton India ,4.2,Mumbai + 394 more,Mumbai,394,Private,15,10k-50k Employees (India),2500,9900,0,54,India,Asia
Aditya Birla Fashion and Retail ,4.3,Mumbai + 193 more,Mumbai,193,Private,7,10k-50k Employees (India),3200,9800,57,57,India,Asia
D Mart ,4,"Mumbai,Maharashtra + 157 more",Mumbai,158,Private,22,10k-50k Employees (India),2500,10300,15,119,India,Asia
UnitedHealth ,4.2,"Minnetonka,Minnesota + 12 more",Minnetonka,13,Private,45,10k-50k Employees (India),4400,18400,15,51,United States of America,Americas
Cummins ,4.3,"Columbus,Indiana + 81 more",Columbus,82,,60,10k-50k Employees (India),3000,10700,10,92,United States of America,Americas
Godrej & Boyce Manufacturing ,3.9,"Mumbai,Maharashtra + 116 more",Mumbai,117,Private,125,10k-50k Employees (India),2800,14400,20,73,India,Asia
IQVIA ,4.2,Durham + 38 more,Durham,38,Partnership,40,10k-50k Employees (India),2500,18600,19,161,United States of America,Americas
CBRE ,4.3,"Los Angeles,California + 53 more",Los Angeles,54,Private,116,10k-50k Employees (India),2300,11400,136,81,United States of America,Americas
Dominos Pizza ,4.1,"Ypsilanti,Michigan + 203 more",Ypsilanti,204,Public,62,1k-5k Employees (India),2300,4300,1,35,United States of America,Americas
Axis Direct ,4,"San Mateo,California + 266 more",San Mateo,267,Private,11,1k-5k Employees (India),2400,8400,44,42,Philippines,Asia
Royal Enfield ,4.2,"Gurgaon/Gurugram,Haryana + 231 more",Gurgaon,232,Private,67,1k-5k Employees (India),2300,11800,11,61,India,Asia
Equitas Small Finance Bank ,4.2,"Chennai,Tamil Nadu + 285 more",Chennai,286,Private,15,10k-50k Employees (India),2300,11000,18,62,India,Asia
Nagarjuna Construction Company ,4.1,"Hyderabad/Secunderabad,Telangana + 178 more",Secunderabad,179,Public,24,1k-5k Employees (India),2400,9600,5,110,India,Asia
Bajaj Auto ,4,"Pune,Maharashtra + 208 more",Pune,209,Public,77,5k-10k Employees (India),2300,8900,0,97,India,Asia
 Wipro Consumer Care & Lighting ,3.9,"Bangalore/Bengaluru,Karnataka + 71 more",Bangalore,72,Private,77,1k-5k Employees (India),29200,1800,15,26,India,Asia
JBM Group ,4,"Gurgaon/Gurugram,Haryana + 73 more",Gurgaon,74,Public,39,10k-50k Employees (India),2800,9800,29,103,India,Asia
Nagarro ,4.5,"Munich,Bavaria + 30 more",Munich,31,Private,26,10k-50k Employees (India),2400,13800,160,266,Germany,Europe
Wipro Infotech ,4,Bangalore + 116 more,Bangalore,116,Private,77,1 Lakh+ Employees (Global),2300,3900,0,48,India,Asia
State Bank of India ,3.9,"Mumbai,Maharashtra + 336 more",Mumbai,337,,216,1 Lakh+ Employees (India),4700,9600,142,100,India,Asia
ICICI Lombard General Insurance Company ,3.9,"Mumbai,Maharashtra + 195 more",Mumbai,196,Public,21,10k-50k Employees (India),2300,12900,118,78,India,Asia
Schneider Electric ,4.2,Paris + 78 more,Paris,78,Private,23,10k-50k Employees (India),3800,14300,191,110,France,Europe
Tata Communications ,4.2,"Mumbai,Maharashtra + 87 more",Mumbai,88,Public,36,10k-50k Employees (India),3100,15900,382,95,India,Asia
Amdocs ,4.1,"Chesterfield,Missouri + 12 more",Chesterfield,13,Private,40,10k-50k Employees (India),2200,25500,0,226,United States of America,Americas
Bosch Global Software Technologies ,4.2,Gerlingen + 20 more,Gerlingen,20,Private,23,10k-50k Employees (India),2200,22700,698,88,Germany,Europe
 UST ,4.1,"Aliso Viejo,California + 32 more",Aliso Viejo,33,Private,21,10k-50k Employees (India),2500,26100,128,147,United States of America,Americas
Muthoot Fincorp ,4,"Trivandrum/Thiruvananthapuram,Kerala + 419 more",Trivandrum/Thiruvananthapuram,420,Private,135,10k-50k Employees (India),2200,8400,61,60,India,Asia
Ford Motor ,4.6,"Dearborn,Michigan + 101 more",Dearborn,102,Public,119,10k-50k Employees (India),2600,11300,8,41,United States of America,Americas
Flex ,4.2,San Jose + 35 more,San,35,Private,53,10k-50k Employees (India),2200,14600,5,73,Mali,Africa
Dell ,4.2,"Round Rock,Texas + 82 more",Round Rock,83,Private,38,10k-50k Employees (India),3600,19800,432,145,United States of America,Americas
Whitehat jr ,3.8,"Mumbai,Maharashtra + 44 more",Mumbai,45,Private,4,5k-10k Employees (India),2200,8300,536,228,India,Asia
John Deere ,4.4,"Moline,Illinois + 98 more",Moline,99,Private,21,5k-10k Employees (India),2400,9700,9,91,United States of America,Americas
Indiamart Intermesh ,3.7,"Noida,Uttar Pradesh + 101 more",Noida,102,Private,26,10k-50k Employees (India),2300,12400,437,186,India,Asia
LG Electronics ,4.1,"Seoul,Seoul + 184 more",Seoul,185,Public,64,10k-50k Employees (India),2200,8400,1,69,South Korea,Asia
Motherson Sumi Systems ,3.9,"Noida,Uttar Pradesh + 61 more",Noida,62,Public,36,5k-10k Employees (India),3500,10100,3,72,India,Asia
Ecom Express ,4.3,"Gurgaon,Haryana + 460 more",Gurgaon,461,Private,10,10k-50k Employees (India),2200,7300,57,83,India,Asia
Hetero Drugs ,4,"Hyderabad/Secunderabad,Telangana + 32 more",Secunderabad,33,Private,29,1k-5k Employees (India),2500,9900,34,92,India,Asia
L&T Financial Services ,4,"Mumbai,Maharashtra + 378 more",Mumbai,379,Public,28,10k-50k Employees (India),2200,10200,6,43,India,Asia
Sodexo ,4.1,Issy Les Moulineaux + 106 more,Issy-les-Moulineaux,106,Private,14,5k-10k Employees (India),2300,7900,116,59,France,Europe
BigBasket ,4.2,"Bangalore,Karnataka + 78 more",Bangalore,79,Private,11,5k-10k Employees (India),2200,10400,32,134,India,Asia
SBI Life Insurance Company ,3.9,"Mumbai,Maharashtra + 410 more",Mumbai,411,Government,21,10k-50k Employees (India),2100,11800,3,70,India,Asia
KEC International ,4.2,"Mumbai,Maharashtra + 203 more",Mumbai,204,Public,77,5k-10k Employees (India),2100,8500,1,105,India,Asia
Cholamandalam Investment & Finance ,4.2,"Chennai,Tamil Nadu + 473 more",Chennai,474,Private,44,5k-10k Employees (India),2100,9000,0,51,India,Asia
GlobalLogic ,4,"San Jose,California + 25 more",San Jose,26,Private,22,1k-5k Employees (India),2100,19000,190,151,United States of America,Americas
Hindustan Coca Cola Beverages ,4.4,Bangalore + 165 more,Bangalore,165,Private,25,5k-10k Employees (India),2100,6200,27,38,India,Asia
Thermax ,4.3,"Pune,Maharashtra + 121 more",Pune,122,Public,42,1k-5k Employees (India),2300,9600,31,79,India,Asia
Intas Pharmaceuticals ,4.3,"Ahmedabad,Gujrat + 97 more",Ahmedabad,98,Private,22,10k-50k Employees (India),2100,10800,28,72,India,Asia
Muthoot Group ,3.7,"Wedel,Schleswig-holstein + 324 more",Wedel,325,Public,135,1k-5k Employees (India),4500,4100,0,34,Germany,Europe
Wipro Enterprises Ltd ,3.9,Bangalore + 66 more,Bangalore,66,,77,1 Lakh+ Employees (India),31200,3900,0,62,India,Asia
Arvind Group ,4.1,"Ahmedabad,Gujrat + 128 more",Ahmedabad,129,Public,91,10k-50k Employees (India),2400,6700,24,28,India,Asia
Atos ,3.9,"Vilnius,Vilniaus Apskritis + 31 more",Vilnius,32,Private,25,10k-50k Employees (India),7600,20500,2,106,Lithuania,Europe
Macleods Pharmaceuticals ,4,"Mumbai,Maharashtra + 75 more",Mumbai,76,Public,36,5k-10k Employees (India),2000,10200,6,61,India,Asia
Shoppers Stop ,4.3,"Mumbai,Maharashtra + 55 more",Mumbai,56,Public,31,5k-10k Employees (India),2000,6600,15,41,India,Asia
Indian Air Force ,4.6,"New Delhi,Delhi + 99 more",New Delhi,100,Private,90,1 Lakh+ Employees (India),2000,4400,0,13,India,Asia
Virtusa Consulting Services ,3.8,"Southborough,Massachusetts + 23 more",Southborough,24,Private,26,5k-10k Employees (India),2000,28500,702,158,United States of America,Americas
Suzlon Group ,4.2,"Pune,Maharashtra + 84 more",Pune,85,Public,27,5k-10k Employees (India),1900,7300,9,50,India,Asia
Swiggy ,4.1,"Bangalore,Karnataka + 132 more",Bangalore,133,Private,8,10k-50k Employees (India),2200,13900,297,125,India,Asia
Glenmark Pharmaceuticals ,4.1,"Mumbai,Maharashtra + 106 more",Mumbai,107,Public,45,10k-50k Employees (India),1900,9000,81,52,India,Asia
CMS IT Services ,3.2,"Bangalore,Karnataka + 115 more",Bangalore,116,Private,8,5k-10k Employees (India),1900,9600,83,52,India,Asia
McDonald's ,4.3,"Chicago,Illinois + 117 more",Chicago,118,Private,67,5k-10k Employees (India),1900,4600,19,38,United States of America,Americas
Randstad ,4.1,"Chennai,Tamil Nadu + 201 more",Chennai,202,Private,30,1k-5k Employees (India),1900,8800,1800,96,India,Asia
Deutsche Bank ,4.3,Frankfurt + 29 more,Frankfurt,29,Private,152,10k-50k Employees (India),2100,18100,1,139,Germany,Europe
Alkem Laboratories ,4.1,"Mumbai,Maharashtra + 117 more",Mumbai,118,Public,49,10k-50k Employees (India),1900,7100,43,65,India,Asia
Pidilite Industries ,4.4,"Mumbai,Maharashtra + 171 more",Mumbai,172,Public,63,5k-10k Employees (India),2000,7200,13,60,India,Asia
Reliance Nippon Life Insurance ,3.9,"Mumbai,Maharashtra + 382 more",Mumbai,383,Private,22,10k-50k Employees (India),1800,9100,3,62,India,Asia
Piramal Capital Housing Finance ,4.3,Mumbai + 219 more,Mumbai,219,,4,1k-5k Employees (India),1800,8200,12,67,India,Asia
DCB Bank ,4,"Mumbai,Maharashtra + 240 more",Mumbai,241,Private,92,5k-10k Employees (India),1800,8100,1100,87,India,Asia
Ipca Laboratories ,4.1,"Mumbai,Maharashtra + 101 more",Mumbai,102,Public,73,10k-50k Employees (India),1800,8400,31,59,India,Asia
Standard Chartered Bank ,4.2,London + 57 more,London,57,Private,53,10k-50k Employees (India),5500,18000,28,69,United Kingdom,Europe
Bajaj Electricals ,4.1,"Mumbai,Maharashtra + 160 more",Mumbai,161,Public,84,5k-10k Employees (India),1800,7100,26,67,India,Asia
Titan Company ,4.4,"Mumbai,Maharashtra + 123 more",Mumbai,124,Public,4,5k-10k Employees (India),2500,6300,56,46,India,Asia
24/7 Customer ,3.6,"San Jose,California + 20 more",San Jose,21,Private,22,5k-10k Employees (India),1800,12400,55,92,United States of America,Americas
CARS24  ,3.8,"Gurgaon,Haryana + 132 more",Gurgaon,133,Private,7,5k-10k Employees (India),1800,9200,248,156,India,Asia
Conduent ,3.6,"Florham Park,New Jersey + 19 more",Florham Park,20,Private,5,5k-10k Employees (India),1800,15100,68,59,United States of America,Americas
Maersk ,4.4,Copenhagen + 21 more,Copenhagen,21,Private,118,10k-50k Employees (India),2200,11300,125,42,Denmark,Europe
Hindalco Industries ,4.3,"Mumbai,Maharashtra + 64 more",Mumbai,65,Public,64,10k-50k Employees (India),1900,6500,0,54,India,Asia
Future Retail ,4.2,"San Francisco,California + 186 more",San Francisco,187,Public,35,10k-50k Employees (India),4400,7000,2,29,United States of America,Americas
MRF Tyres ,3.7,"Chennai,Tamil Nadu + 158 more",Chennai,159,Public,76,10k-50k Employees (India),1900,8700,11,106,India,Asia
Tata Teleservices ,4.2,"Mumbai,Maharashtra + 152 more",Mumbai,153,Public,26,201-500 Employees (India),1700,4500,15,20,India,Asia
Tractors and Farm Equipment ,4.2,"Chennai,Tamil Nadu + 131 more",Chennai,132,Public,62,5k-10k Employees (India),1700,7000,16,44,India,Asia
Torrent Pharmaceuticals ,4.1,"Ahmedabad,Gujrat + 86 more",Ahmedabad,87,Public,51,10k-50k Employees (India),1700,8100,8,39,India,Asia
State Street Syntel ,3.8,Mumbai + 12 more,Mumbai,12,Private,18,501-1k Employees (India),1700,9800,0,32,India,Asia
Vishal Mega Mart ,3.9,"Ahmedabad,Gujrat + 239 more",Ahmedabad,240,Private,14,10k-50k Employees (India),1700,6600,7,66,India,Asia
RSPL Group ,4.1,"Mumbai,Maharashtra + 145 more",Mumbai,146,Private,35,1k-5k Employees (India),1700,6300,13,34,India,Asia
Ceat Tyres ,4.1,"Mumbai,Maharashtra + 96 more",Mumbai,97,Public,64,5k-10k Employees (India),1800,8000,0,52,India,Asia
PNB MetLife ,3.7,"Mumbai,Maharashtra + 239 more",Mumbai,240,Private,21,5k-10k Employees (India),1700,8300,14,75,India,Asia
Bank of America ,4.4,Charlotte + 26 more,Charlotte,26,Private,24,10k-50k Employees (India),2800,16000,182,79,United States of America,Americas
ACC ,4.1,"Mumbai,Maharashtra + 172 more",Mumbai,173,Public,86,5k-10k Employees (India),1800,7800,20,73,India,Asia
Capita ,3.9,"Indore,Madhya Pradesh + 16 more",Indore,17,Private,17,1k-5k Employees (India),1700,11000,42,60,India,Asia
Tata AIA Life Insurance ,4,"Mumbai,Maharashtra + 195 more",Mumbai,196,Private,21,10k-50k Employees (India),1700,9800,32,76,India,Asia
Rivigo ,3.8,"Gurgaon,Haryana + 145 more",Gurgaon,146,Private,8,1k-5k Employees (India),1700,7100,13,49,India,Asia
RBL Bank ,3.8,"Mumbai,Maharashtra + 177 more",Mumbai,178,Public,79,10k-50k Employees (India),1700,12200,51,74,India,Asia
Ekart Logistics ,4.2,"San Francisco,California + 386 more",San Francisco,387,Private,13,5k-10k Employees (India),1700,5100,0,86,United States of America,Americas
KPIT Technologies ,3.5,"Pune,Maharashtra + 20 more",Pune,21,Public,32,5k-10k Employees (India),1700,13600,146,68,India,Asia
Radisson Hotels ,3.9,"Minnetonka,Minnesota + 90 more",Minnetonka,91,Private,113,10k-50k Employees (India),1700,5700,5,22,United States of America,Americas
Kotak Mahindara Life Insurance ,3.9,"Mumbai,Maharashtra + 161 more",Mumbai,162,Public,21,10k-50k Employees (India),1600,10200,27,71,India,Asia
 Publicis Sapient ,3.9,"New York,New York + 16 more",New York,17,Private,32,1k-5k Employees (India),1700,20500,120,179,United States of America,Americas
HDFC Ergo General Insurance ,4,"Mumbai,Maharashtra + 173 more",Mumbai,174,Public,20,5k-10k Employees (India),1600,8400,10,51,India,Asia
IndiGo ,3.5,"Boston,Massachusetts + 72 more",Boston,73,Private,17,10k-50k Employees (India),1600,9100,192,172,United States of America,Americas
Ola Cabs ,3.5,Bangalore + 86 more,Bangalore,86,Private,12,10k-50k Employees (India),2300,10000,494,74,India,Asia
Eureka Forbes ,4,"Mumbai,Maharashtra + 147 more",Mumbai,148,Private,40,5k-10k Employees (India),1600,5200,4,26,India,Asia
GeBBS Healthcare Solutions ,3.9,"Culver City,California + 11 more",Culver City,12,Private,17,5k-10k Employees (India),1500,6800,43,41,United States of America,Americas
Nestle ,4.1,Vevey + 181 more,Vevey,181,Public,63,10k-50k Employees (India),1700,7200,15,116,Switzerland,Europe
Aakash Institute ,3.6,"New Delhi,Delhi + 136 more",New Delhi,137,Private,34,1k-5k Employees (India),1800,8200,86,74,India,Asia
Blue Dart Express ,4.2,"Mumbai,Maharashtra + 190 more",Mumbai,191,Public,39,10k-50k Employees (India),1600,5400,0,37,India,Asia
Aarti Industries ,4.2,"Mumbai,Maharashtra + 33 more",Mumbai,34,Public,47,5k-10k Employees (India),1500,8800,42,118,India,Asia
PolicyBazaar ,3.7,"Gurgaon,Haryana + 31 more",Gurgaon,32,Public,14,5k-10k Employees (India),1500,8800,38,87,India,Asia
Tata AIG ,4.1,"Mumbai,Maharashtra + 181 more",Mumbai,182,Private,22,5k-10k Employees (India),1500,8600,92,59,India,Asia
Reliance Digital ,4.3,"Mumbai,Maharashtra + 212 more",Mumbai,213,Private,15,5k-10k Employees (India),1500,5700,0,33,India,Asia
Pfizer ,4.2,"Chennai,Tamil Nadu + 96 more",Chennai,97,Public,18,5k-10k Employees (India),4800,5100,127,25,India,Asia
Mankind Pharma ,4.2,"New Delhi,Delhi + 143 more",New Delhi,144,Private,27,5k-10k Employees (India),1700,6200,15,82,India,Asia
JMC Projects ,4.3,"Mumbai,Maharashtra + 92 more",Mumbai,93,Public,40,1k-5k Employees (India),1500,5400,0,55,India,Asia
AFCONS Infrastructure ,4.5,"Mumbai,Maharashtra + 71 more",Mumbai,72,Partnership,63,1k-5k Employees (India),1500,5500,3,84,India,Asia
Life Insurance Corporation of India ,4.4,Mumbai + 347 more,Mumbai,347,Private,66,1 Lakh+ Employees (India),1500,5300,7,36,India,Asia
Voltas ,4.1,"Mumbai,Maharashtra + 137 more",Mumbai,138,Public,68,5k-10k Employees (India),1600,6500,17,39,India,Asia
R1 RCM ,4,"Murray,Utah + 15 more",Murray,16,Private,19,5k-10k Employees (India),1500,9500,8,92,United States of America,Americas
Persistent Systems ,4.2,"Pune,Maharashtra + 7 more",Pune,8,Public,32,10k-50k Employees (India),1500,18100,103,188,India,Asia
