,campany_name,rating,headquarter,headquarter.1,num_of_locations,pub_or_pri,how long since founded,employees,reviews,salaries,jobs,interviews,Country,continent,latitude,longitude
181,Reliance Nippon Life Insurance ,3.9,"Mumbai,Maharashtra + 382 more",Mumbai,383,Private,22,10k-50k Employees (India),1800,9100,3,62,India,Asia,20.593684,78.96288
182,Piramal Capital Housing Finance ,4.3,Mumbai + 219 more,Mumbai,219,,4,1k-5k Employees (India),1800,8200,12,67,India,Asia,20.593684,78.96288
183,DCB Bank ,4.0,"Mumbai,Maharashtra + 240 more",Mumbai,241,Private,92,5k-10k Employees (India),1800,8100,1100,87,India,Asia,20.593684,78.96288
184,Ipca Laboratories ,4.1,"Mumbai,Maharashtra + 101 more",Mumbai,102,Public,73,10k-50k Employees (India),1800,8400,31,59,India,Asia,20.593684,78.96288
185,Standard Chartered Bank ,4.2,London + 57 more,London,57,Private,53,10k-50k Employees (India),5500,18000,28,69,United Kingdom,Europe,55.378051,-3.435973
186,Bajaj Electricals ,4.1,"Mumbai,Maharashtra + 160 more",Mumbai,161,Public,84,5k-10k Employees (India),1800,7100,26,67,India,Asia,20.593684,78.96288
187,Titan Company ,4.4,"Mumbai,Maharashtra + 123 more",Mumbai,124,Public,4,5k-10k Employees (India),2500,6300,56,46,India,Asia,20.593684,78.96288
188,24/7 Customer ,3.6,"San Jose,California + 20 more",San Jose,21,Private,22,5k-10k Employees (India),1800,12400,55,92,United States of America,Americas,,
189,CARS24  ,3.8,"Gurgaon,Haryana + 132 more",Gurgaon,133,Private,7,5k-10k Employees (India),1800,9200,248,156,India,Asia,20.593684,78.96288
190,Conduent ,3.6,"Florham Park,New Jersey + 19 more",Florham Park,20,Private,5,5k-10k Employees (India),1800,15100,68,59,United States of America,Americas,,
191,Maersk ,4.4,Copenhagen + 21 more,Copenhagen,21,Private,118,10k-50k Employees (India),2200,11300,125,42,Denmark,Europe,56.26392,9.501785
192,Hindalco Industries ,4.3,"Mumbai,Maharashtra + 64 more",Mumbai,65,Public,64,10k-50k Employees (India),1900,6500,0,54,India,Asia,20.593684,78.96288
193,Future Retail ,4.2,"San Francisco,California + 186 more",San Francisco,187,Public,35,10k-50k Employees (India),4400,7000,2,29,United States of America,Americas,,
194,MRF Tyres ,3.7,"Chennai,Tamil Nadu + 158 more",Chennai,159,Public,76,10k-50k Employees (India),1900,8700,11,106,India,Asia,20.593684,78.96288
195,Tata Teleservices ,4.2,"Mumbai,Maharashtra + 152 more",Mumbai,153,Public,26,201-500 Employees (India),1700,4500,15,20,India,Asia,20.593684,78.96288
196,Tractors and Farm Equipment ,4.2,"Chennai,Tamil Nadu + 131 more",Chennai,132,Public,62,5k-10k Employees (India),1700,7000,16,44,India,Asia,20.593684,78.96288
197,Torrent Pharmaceuticals ,4.1,"Ahmedabad,Gujrat + 86 more",Ahmedabad,87,Public,51,10k-50k Employees (India),1700,8100,8,39,India,Asia,20.593684,78.96288
